Min_Cronaca,tifo,compound,Positive,Negative,Neutral,Total_tif,Comp_med
70,Tottenham,5.4942,13,4,18,35,0.42263076923076925
71,Manchester City,5.6796999999999995,21,3,8,32,0.27046190476190474
71,Neutral,9.9571,44,23,72,139,0.2262977272727273
71,Tottenham,9.247399999999999,19,3,13,35,0.4867052631578947
72,Manchester City,5.835199999999999,16,1,2,19,0.3646999999999999
72,Neutral,18.307199999999998,53,25,50,128,0.34541886792452825
72,Tottenham,5.4728,12,5,12,29,0.4560666666666667
73,Manchester City,2.0010999999999997,13,5,2,20,0.1539307692307692
73,Neutral,18.450400000000005,68,35,76,179,0.271329411764706
73,Tottenham,5.904900000000001,18,4,11,33,0.32805000000000006
74,Manchester City,1.9794000000000005,16,10,4,30,0.12371250000000003
74,Neutral,3.717000000000002,44,34,72,150,0.08447727272727278
74,Tottenham,5.043799999999999,11,3,10,24,0.4585272727272727
75,Manchester City,3.2153,19,7,2,28,0.1692263157894737
75,Neutral,9.5085,53,36,82,171,0.17940566037735847
75,Tottenham,11.8658,31,8,14,53,0.38276774193548385
76,Manchester City,1.5932,7,4,11,22,0.2276
76,Neutral,12.419400000000005,58,44,97,199,0.21412758620689665
76,Tottenham,13.0338,30,5,10,45,0.43445999999999996
77,Manchester City,0.3603000000000001,5,4,4,13,0.07206000000000003
77,Neutral,11.214699999999999,47,25,78,150,0.23861063829787232
77,Tottenham,12.659799999999999,26,7,10,43,0.4869153846153846
78,Manchester City,1.1807,5,2,4,11,0.23614000000000002
78,Neutral,13.427700000000003,47,24,93,164,0.2856957446808511
78,Tottenham,8.450800000000001,18,6,18,42,0.46948888888888896
79,Manchester City,5.209699999999999,22,7,6,35,0.2368045454545454
79,Neutral,24.0104,59,17,96,172,0.4069559322033898
79,Tottenham,9.745600000000001,20,3,15,38,0.48728000000000005
8,Manchester City,11.997300000000001,28,1,7,36,0.42847500000000005
8,Neutral,11.017200000000006,33,8,40,81,0.3338545454545456
8,Tottenham,1.3135,9,4,14,27,0.14594444444444443
80,Manchester City,9.373800000000001,31,5,9,45,0.3023806451612904
80,Neutral,11.508199999999999,41,22,87,150,0.28068780487804873
80,Tottenham,4.3816,10,2,14,26,0.43816
81,Manchester City,3.4096,16,6,4,26,0.2131
81,Neutral,4.2517000000000005,31,20,134,185,0.13715161290322583
81,Tottenham,9.750500000000002,16,1,8,25,0.6094062500000001
82,Manchester City,2.9131999999999993,8,1,5,14,0.3641499999999999
82,Neutral,9.717000000000002,39,24,106,169,0.24915384615384623
82,Tottenham,8.4375,19,5,8,32,0.4440789473684211
83,Manchester City,6.951799999999999,20,3,4,27,0.34758999999999995
83,Neutral,12.013799999999998,48,26,91,165,0.25028749999999994
83,Tottenham,16.488300000000006,55,10,27,92,0.29978727272727285
84,Manchester City,3.9265,11,1,3,15,0.35695454545454547
84,Neutral,12.358400000000007,46,22,81,149,0.26866086956521756
84,Tottenham,18.938899999999993,42,4,18,64,0.4509261904761903
85,Manchester City,2.8058,7,1,4,12,0.4008285714285714
85,Neutral,13.201600000000001,49,25,64,138,0.26942040816326535
85,Tottenham,11.096400000000003,30,8,14,52,0.3698800000000001
86,Manchester City,1.6026,6,2,6,14,0.2671
86,Neutral,14.600500000000002,52,28,85,165,0.2807788461538462
86,Tottenham,9.799199999999999,25,7,19,51,0.391968
87,Manchester City,2.8651,9,1,5,15,0.31834444444444443
87,Neutral,8.059600000000001,33,21,72,126,0.24423030303030308
87,Tottenham,5.276399999999999,11,3,23,37,0.4796727272727272
88,Manchester City,5.119099999999999,16,4,5,25,0.3199437499999999
88,Neutral,16.4048,48,20,64,132,0.3417666666666667
88,Tottenham,7.257700000000001,17,5,24,46,0.42692352941176476
89,Manchester City,1.8202000000000003,10,3,6,19,0.18202000000000002
89,Neutral,22.031500000000012,56,24,64,144,0.3934196428571431
89,Tottenham,18.906999999999996,46,1,177,224,0.4110217391304347
9,Manchester City,13.7349,29,1,1,31,0.4736172413793103
9,Neutral,7.486699999999999,32,21,47,100,0.23395937499999997
9,Tottenham,0.41069999999999995,14,13,22,49,0.02933571428571428
90,Manchester City,3.2506,16,7,7,30,0.2031625
90,Neutral,33.49070000000002,98,47,109,254,0.34174183673469405
90,Tottenham,22.230399999999992,51,12,130,193,0.4358901960784312
90+1,Manchester City,4.749899999999999,15,8,2,25,0.31665999999999994
90+1,Neutral,42.13200000000001,140,84,89,313,0.30094285714285723
90+1,Tottenham,25.705399999999997,55,10,100,165,0.46737090909090906
90+2,Manchester City,2.0623000000000005,12,8,6,26,0.17185833333333336
90+2,Neutral,56.11569999999996,142,62,107,311,0.39518098591549267
90+2,Tottenham,18.846100000000003,49,16,65,130,0.3846142857142858
90+3,Manchester City,4.9979000000000005,15,5,2,22,0.33319333333333334
90+3,Neutral,24.4322,84,49,81,214,0.29085952380952385
90+3,Tottenham,15.266699999999998,38,12,63,113,0.40175526315789467
90+4,Manchester City,5.1046000000000005,23,12,4,39,0.22193913043478264
90+4,Neutral,58.2334,143,53,113,309,0.4072265734265734
90+4,Tottenham,34.7671,75,14,135,224,0.4635613333333333
90+5,Manchester City,3.2115999999999985,29,31,14,74,0.11074482758620684
90+5,Neutral,102.83810000000004,266,110,219,595,0.38660939849624076
90+5,Tottenham,184.90510000000015,346,53,321,720,0.5344078034682085
90+6,Manchester City,14.205199999999996,52,32,17,101,0.273176923076923
90+6,Neutral,158.54899999999998,361,124,279,764,0.43919390581717443
90+6,Tottenham,216.62720000000039,430,91,399,920,0.5037841860465125
